,0
"('RAD',)",RAD
"('Waterfall',)",Waterfall
"('RAD',)",RAD
"('Kanban',)",Kanban
"('Hybrid: Scrum and Kanban',)",Hybrid: Scrum and Kanban
"('Spiral',)",Spiral
"('Kanban',)",Kanban
"('Scrum',)",Scrum
"('Waterfall',)",Waterfall
"('Spiral',)",Spiral
"('Scrum',)",Scrum
"('Scrum',)",Scrum
"('Scrum',)",Scrum
"('Waterfall',)",Waterfall
"('RAD',)",Scrum
"('Kanban',)",Kanban
"('Scrum',)",Scrum
"('Scrum',)",Scrum
"('Scrum',)",Scrum
"('Hybrid: Scrum and Kanban',)",Hybrid: Scrum and Kanban
"('Scrum',)",Scrum
"('RAD',)",RAD
"('Scrum',)",Scrum
"('Kanban',)",Kanban
"('Hybrid: Scrum and Kanban',)",Hybrid: Scrum and Kanban
"('Scrum',)",Scrum
"('Kanban',)",Kanban
"('Hybrid: Scrum and Kanban',)",Hybrid: Scrum and Kanban
"('Hybrid: Scrum and Waterfall',)",Hybrid: Scrum and Waterfall
"('Waterfall',)",Waterfall
"('Scrum',)",Scrum
"('Scrum',)",Scrum
"('Kanban',)",Kanban
"('Waterfall',)",Waterfall
"('RAD',)",RAD
"('Scrum',)",Scrum
"('Hybrid: Scrum and Waterfall',)",Hybrid: Scrum and Waterfall
"('RAD',)",RAD
"('Scrum',)",Scrum
"('Scrum',)",Scrum
"('Hybrid: Scrum and Waterfall',)",Hybrid: Scrum and Waterfall
"('Scrum',)",Scrum
"('Scrum',)",Kanban
"('Kanban',)",Kanban
"('Waterfall',)",Waterfall
"('Kanban',)",Kanban
"('Waterfall',)",Waterfall
"('Kanban',)",Kanban
