,0
"('RAD',)",Hybrid: Scrum and Kanban
"('Waterfall',)",Waterfall
"('RAD',)",Hybrid: Scrum and Waterfall
"('Kanban',)",Kanban
"('Hybrid: Scrum and Kanban',)",Hybrid: Scrum and Kanban
"('Spiral',)",Scrum
"('Kanban',)",Waterfall
"('Scrum',)",Scrum
"('Waterfall',)",Waterfall
"('Spiral',)",Spiral
"('Scrum',)",Scrum
"('Scrum',)",Scrum
"('Scrum',)",Scrum
"('Waterfall',)",Waterfall
"('RAD',)",Hybrid: Scrum and Kanban
"('Kanban',)",Hybrid: Scrum and Kanban
"('Scrum',)",Scrum
"('Scrum',)",Scrum
"('Scrum',)",Scrum
"('Hybrid: Scrum and Kanban',)",Hybrid: Scrum and Kanban
"('Scrum',)",Scrum
"('RAD',)",Hybrid: Scrum and Waterfall
"('Scrum',)",Waterfall
"('Kanban',)",Kanban
"('Hybrid: Scrum and Kanban',)",Hybrid: Scrum and Kanban
"('Scrum',)",Scrum
"('Kanban',)",Kanban
"('Hybrid: Scrum and Kanban',)",Hybrid: Scrum and Kanban
"('Hybrid: Scrum and Waterfall',)",Hybrid: Scrum and Waterfall
"('Waterfall',)",Waterfall
"('Scrum',)",Scrum
"('Scrum',)",Scrum
"('Kanban',)",Kanban
"('Waterfall',)",Waterfall
"('RAD',)",RAD
"('Scrum',)",Kanban
"('Hybrid: Scrum and Waterfall',)",Hybrid: Scrum and Waterfall
"('RAD',)",Scrum
"('Scrum',)",Scrum
"('Scrum',)",Scrum
"('Hybrid: Scrum and Waterfall',)",Scrum
"('Scrum',)",Scrum
"('Scrum',)",Kanban
"('Kanban',)",Kanban
"('Waterfall',)",Waterfall
"('Kanban',)",Kanban
"('Waterfall',)",Waterfall
"('Kanban',)",Kanban
